190,げーむき・げーむそふと,きんぞく,きんぞく,でんちはとりのぞく。ＤＶＤのげーむそふとは「たぷら」でだす。
191,けいこうかん,きけんごみ,危,あたらしいけいこうかんがはいっていたはこ・つつやふくろにいれる
192,けいたいでんわ・じゅうでんき,しではしゅうしゅうしません,しゅうしゅうしない,けいたいでんわ・ぴーえいちえすのほんたい、じゅうでんしきでんち、じゅうでんきをぶらんどめいにかんけいなく、むしょうで「もばいる・りさいくる・ねっとわーく」のせんようろごまーくのあるはんばいてんでかいしゅうしています。けいたいでんわとうをはいきされるほうは、せんようろごまーくのあるおちかくのはんばいてんにしょりをいらいしてください。または、しないえこ・すてーしょんにもちこんでください。
193,けいと,いるい・ぬのるい,ぬのるい,
194,けいりょうばかり,きんぞく,きんぞく,
195,けしごむ,もやせるごみ,かねん,
196,けしょうひんのようき（きんぞくせい）,きんぞく,きんぞく,なかみをつかいきる
197,けしょうひんのようき（がらすせい）,もやせないごみ,ふねん,なかみをつかいきる
198,けしょうひんのようき（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,なかみをつかいきる。よごれがとりきれないばあいはもやせるごみ
199,けしょうひんのようき（かみせい）,もやせるごみ,かねん,
200,げた,もやせるごみ,かねん,
201,げたばこ,もやせるごみ,かねん,
202,けちゃっぷのようき・ふた（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,なかみをつかいきる。よごれがとりきれないばあいはもやせるごみ
203,げんかんどろ落まっと（きんぞくせい）,きんぞく,きんぞく,
204,げんかんどろ落まっと（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
205,げんかんまっと,もやせるごみ,かねん,
206,こうこくるい（ちらし）,しんぶん,しんぶん,しんぶんしといっしょにひもでじゅうもんじにたばねる
207,ござ（いくさせい）,もやせるごみ,かねん,
208,ござ（びにーるせい）,そのたぷらすちっく,たぷら,
209,こたつ,きんぞく,きんぞく,
210,こたつのてんばん（もくせい）,もやせるごみ,かねん,
211,こたつふとん,もやせるごみ,かねん,とうめい・はんとうめいぶくろにいれてだす
212,こっぷ（きんぞくせい）,きんぞく,きんぞく,
213,こっぷ（がらすせい）,もやせないごみ,ふねん,
214,こっぷ（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
